long,lat,year,nat,id,trp,group.regroup
-7.78,48.96,1791,British,1,3429,1.1
-8.041112182,48.85311872,1791,British,1,3429,1.1
-8.301108819,48.74565035,1791,British,1,3429,1.1
-8.55999284,48.63759961,1791,British,1,3429,1.1
-8.817767276,48.52897119,1791,British,1,3429,1.1
-9.074435254,48.41976977,1791,British,1,3429,1.1
-9.33,48.31,1791,British,1,3429,1.1
-12.65,38.18,1791,British,10,3429,10.1
-12.85946672,38.21760108,1791,British,10,3429,10.1
-13.06914896,38.25482955,1791,British,10,3429,10.1
-13.27904509,38.29168456,1791,British,10,3429,10.1
-13.48915343,38.32816521,1791,British,10,3429,10.1
-13.6994723,38.36427064,1791,British,10,3429,10.1
-13.91,38.4,1791,British,10,3429,10.1
54.88,-38.3,1791,British,100,3429,100.1
55.52479232,-38.23541715,1791,British,100,3429,100.1
56.16840919,-38.16731319,1791,British,100,3429,100.1
56.8107937,-38.09570329,1791,British,100,3429,100.1
57.45188997,-38.02060332,1791,British,100,3429,100.1
58.09164328,-37.94202981,1791,British,100,3429,100.1
58.73,-37.86,1791,British,100,3429,100.1
58.73,-37.86,1791,British,101,3429,101.1
59.46467263,-37.84137792,1791,British,101,3429,101.1
60.19892897,-37.81819449,1791,British,101,3429,101.1
60.93267898,-37.79045637,1791,British,101,3429,101.1
61.6658332,-37.75817154,1791,British,101,3429,101.1
62.39830288,-37.72134924,1791,British,101,3429,101.1
63.13,-37.68,1791,British,101,3429,101.1
63.13,-37.68,1791,British,102,3429,102.1
63.87692799,-37.68343918,1791,British,102,3429,102.1
64.6238778,-37.68216746,1791,British,102,3429,102.1
65.37075457,-37.6761852,1791,British,102,3429,102.1
66.11746353,-37.6654942,1791,British,102,3429,102.1
66.86391009,-37.65009761,1791,British,102,3429,102.1
67.61,-37.63,1791,British,102,3429,102.1
67.61,-37.63,1791,British,103,3429,103.1
67.46240301,-37.53545445,1791,British,103,3429,103.1
67.31518016,-37.44072567,1791,British,103,3429,103.1
67.16832994,-37.34581476,1791,British,103,3429,103.1
67.02185084,-37.25072279,1791,British,103,3429,103.1
66.87574137,-37.15545085,1791,British,103,3429,103.1
66.73,-37.06,1791,British,103,3429,103.1
66.73,-37.06,1791,British,104,3429,104.1
67.22554156,-36.78165091,1791,British,104,3429,104.1
67.71748355,-36.50126139,1791,British,104,3429,104.1
68.20586279,-36.21886682,1791,British,104,3429,104.1
68.69071664,-35.93450215,1791,British,104,3429,104.1
69.17208295,-35.64820187,1791,British,104,3429,104.1
69.65,-35.36,1791,British,104,3429,104.1
69.65,-35.36,1791,British,105,3429,105.1
70.10846006,-35.23926564,1791,British,105,3429,105.1
70.56554749,-35.11680766,1791,British,105,3429,105.1
71.02125337,-34.99263904,1791,British,105,3429,105.1
71.47556929,-34.86677281,1791,British,105,3429,105.1
71.92848731,-34.73922208,1791,British,105,3429,105.1
72.38,-34.61,1791,British,105,3429,105.1
72.38,-34.61,1791,British,106,3429,106.1
72.88467449,-34.4567667,1791,British,106,3429,106.1
73.38748769,-34.30146723,1791,British,106,3429,106.1
73.88843265,-34.14412117,1791,British,106,3429,106.1
74.3875032,-33.98474815,1791,British,106,3429,106.1
74.88469389,-33.82336786,1791,British,106,3429,106.1
75.38,-33.66,1791,British,106,3429,106.1
75.38,-33.66,1791,British,107,3429,107.1
75.90517985,-33.54714293,1791,British,107,3429,107.1
76.42897627,-33.43207456,1791,British,107,3429,107.1
76.95137236,-33.31481035,1791,British,107,3429,107.1
77.47235193,-33.19536595,1791,British,107,3429,107.1
77.99189943,-33.07375717,1791,British,107,3429,107.1
78.51,-32.95,1791,British,107,3429,107.1
78.51,-32.95,1791,British,108,3429,108.1
78.76075523,-32.77622655,1791,British,108,3429,108.1
79.01053161,-32.60195554,1791,British,108,3429,108.1
79.25933672,-32.42719219,1791,British,108,3429,108.1
79.50717812,-32.25194173,1791,British,108,3429,108.1
79.75406336,-32.07620929,1791,British,108,3429,108.1
80,-31.9,1791,British,108,3429,108.1
80,-31.9,1791,British,109,3429,109.1
80.05519811,-31.8333925,1791,British,109,3429,109.1
80.11031659,-31.76676121,1791,British,109,3429,109.1
80.16535572,-31.70010622,1791,British,109,3429,109.1
80.22031581,-31.63342762,1791,British,109,3429,109.1
80.27519714,-31.56672552,1791,British,109,3429,109.1
80.33,-31.5,1791,British,109,3429,109.1
-13.91,38.4,1791,British,11,3429,11.1
-13.87641867,38.29169031,1791,British,11,3429,11.1
-13.84293744,38.18337108,1791,British,11,3429,11.1
-13.80955563,38.07504236,1791,British,11,3429,11.1
-13.77627256,37.96670424,1791,British,11,3429,11.1
-13.74308757,37.85835676,1791,British,11,3429,11.1
-13.71,37.75,1791,British,11,3429,11.1
80.33,-31.5,1791,British,110,3429,110.1
80.24578926,-31.3001346,1791,British,110,3429,110.1
80.16193502,-31.10021449,1791,British,110,3429,110.1
80.0784331,-30.90024033,1791,British,110,3429,110.1
79.99527934,-30.70021277,1791,British,110,3429,110.1
79.91246966,-30.50013245,1791,British,110,3429,110.1
79.83,-30.3,1791,British,110,3429,110.1
79.83,-30.3,1791,British,111,3429,111.1
79.38283579,-30.05368906,1791,British,111,3429,111.1
78.93789734,-29.80587286,1791,British,111,3429,111.1
78.49516481,-29.55657376,1791,British,111,3429,111.1
78.05461807,-29.30581396,1791,British,111,3429,111.1
77.61623669,-29.05361545,1791,British,111,3429,111.1
77.18,-28.8,1791,British,111,3429,111.1
77.18,-28.8,1791,British,112,3429,112.1
77.51980705,-28.38202174,1791,British,112,3429,112.1
77.85694324,-27.96320728,1791,British,112,3429,112.1
78.1914704,-27.54357758,1791,British,112,3429,112.1
78.52344928,-27.12315316,1791,British,112,3429,112.1
78.85293959,-26.70195409,1791,British,112,3429,112.1
79.18,-26.28,1791,British,112,3429,112.1
79.18,-26.28,1791,British,113,3429,113.1
79.21760295,-25.65168931,1791,British,113,3429,113.1
79.25481191,-25.02336909,1791,British,113,3429,113.1
79.29164184,-24.39503971,1791,British,113,3429,113.1
79.32810722,-23.76670151,1791,British,113,3429,113.1
79.36422208,-23.13835483,1791,British,113,3429,113.1
79.4,-22.51,1791,British,113,3429,113.1
79.4,-22.51,1791,British,114,3429,114.1
79.22365101,-22.00211483,1791,British,114,3429,114.1
79.04856105,-21.49404246,1791,British,114,3429,114.1
78.8746899,-20.98578895,1791,British,114,3429,114.1
78.7019982,-20.47736021,1791,British,114,3429,114.1
78.53044746,-19.96876201,1791,British,114,3429,114.1
78.36,-19.46,1791,British,114,3429,114.1
78.36,-19.46,1791,British,115,3429,115.1
78.70749546,-18.86484884,1791,British,115,3429,115.1
79.05253154,-18.26905741,1791,British,115,3429,115.1
79.3952056,-17.67265169,1791,British,115,3429,115.1
79.735613,-17.07565708,1791,British,115,3429,115.1
80.07384724,-16.47809842,1791,British,115,3429,115.1
80.41,-15.88,1791,British,115,3429,115.1
80.41,-15.88,1791,British,116,3429,116.1
80.67519124,-15.28572901,1791,British,116,3429,116.1
80.93888282,-14.69114765,1791,British,116,3429,116.1
81.20114302,-14.09627019,1791,British,116,3429,116.1
81.46203888,-13.50111064,1791,British,116,3429,116.1
81.72163628,-12.90568274,1791,British,116,3429,116.1
81.98,-12.31,1791,British,116,3429,116.1
81.98,-12.31,1791,British,117,3429,117.1
82.15653021,-11.80192081,1791,British,117,3429,117.1
82.33240738,-11.29373313,1791,British,117,3429,117.1
82.50766251,-10.78544214,1791,British,117,3429,117.1
82.68232621,-10.27705294,1791,British,117,3429,117.1
82.85642874,-9.768570563,1791,British,117,3429,117.1
83.03,-9.26,1791,British,117,3429,117.1
83.03,-9.26,1791,British,118,3429,118.1
83.14218664,-8.900079006,1791,British,118,3429,118.1
83.25415276,-8.540124503,1791,British,118,3429,118.1
83.36590782,-8.180137928,1791,British,118,3429,118.1
83.47746117,-7.820120709,1791,British,118,3429,118.1
83.58882215,-7.460074264,1791,British,118,3429,118.1
83.7,-7.1,1791,British,118,3429,118.1
83.7,-7.1,1791,British,119,3429,119.1
83.71336638,-6.851667543,1791,British,119,3429,119.1
83.72671885,-6.603334717,1791,British,119,3429,119.1
83.74005793,-6.355001536,1791,British,119,3429,119.1
83.75338413,-6.106668014,1791,British,119,3429,119.1
83.76669799,-5.858334164,1791,British,119,3429,119.1
83.78,-5.61,1791,British,119,3429,119.1
-13.71,37.75,1791,British,12,3429,12.1
-13.69661432,37.69167042,1791,British,12,3429,12.1
-13.68324967,37.63333934,1791,British,12,3429,12.1
-13.669906,37.57500675,1791,British,12,3429,12.1
-13.65658321,37.51667266,1791,British,12,3429,12.1
-13.64328124,37.45833707,1791,British,12,3429,12.1
-13.63,37.4,1791,British,12,3429,12.1
83.78,-5.61,1791,British,120,3429,120.1
83.81340292,-5.335004188,1791,British,120,3429,120.1
83.84677591,-5.060006574,1791,British,120,3429,120.1
83.88012054,-4.785007254,1791,British,120,3429,120.1
83.91343839,-4.510006322,1791,British,120,3429,120.1
83.94673102,-4.235003873,1791,British,120,3429,120.1
83.98,-3.96,1791,British,120,3429,120.1
83.98,-3.96,1791,British,121,3429,121.1
83.96330211,-3.551667302,1791,British,121,3429,121.1
83.94661899,-3.143334304,1791,British,121,3429,121.1
83.92994892,-2.73500104,1791,British,121,3429,121.1
83.9132902,-2.326667545,1791,British,121,3429,121.1
83.89664113,-1.918333853,1791,British,121,3429,121.1
83.88,-1.51,1791,British,121,3429,121.1
83.88,-1.51,1791,British,122,3429,122.1
83.82998884,-0.981667194,1791,British,122,3429,122.1
83.77999349,-0.453333641,1791,British,122,3429,122.1
83.73000543,0.075000257,1791,British,122,3429,122.1
83.68001617,0.603334098,1791,British,122,3429,122.1
83.63001719,1.13166748,1791,British,122,3429,122.1
83.58,1.66,1791,British,122,3429,122.1
83.58,1.66,1791,British,123,3429,123.1
83.55173566,2.205001787,1791,British,123,3429,123.1
83.5234506,2.750003037,1791,British,123,3429,123.1
83.49513968,3.295003618,1791,British,123,3429,123.1
83.46679774,3.840003395,1791,British,123,3429,123.1
83.43841959,4.385002234,1791,British,123,3429,123.1
83.41,4.93,1791,British,123,3429,123.1
83.41,4.93,1791,British,124,3429,124.1
83.41,5.151666667,1791,British,124,3429,124.1
83.41,5.373333333,1791,British,124,3429,124.1
